ts,model,dtype,tp_size,worker,analyzer,storage_variant,mode,hooks_on,prompt_len,max_tokens,batch_size,n_layers_captured,enable_prefix_caching,enforce_eager,vllm_version,plugin_version,cuda_version,gpu_model,run_id,profile_tier,rep_idx,row,rep_count,gen_lat_mean,wait_lat_mean,analyze_lat_mean,total_lat_mean,prefill_tok_per_sec,decode_tok_per_sec,peak_gpu_mb,artifact_kb_mean,cuda_alloc_mb_max,cuda_peak_alloc_mb_max,cuda_peak_alloc_mb_mean,cuda_reserved_mb_max,cuda_peak_reserved_mb_max,cuda_alloc_delta_mb_max,cuda_alloc_delta_mb_mean,host_rss_mb_max,host_rss_delta_mb_max,gauge.mem.gpu_mb.count,gauge.mem.gpu_mb.sum,gauge.mem.gpu_mb.mean,gauge.mem.gpu_mb.min,gauge.mem.gpu_mb.max,gauge.mem.gpu_mb.std,gauge.mem.gpu_mb.p50,gauge.mem.gpu_mb.p90,gauge.mem.gpu_mb.p99,gauge.mem.host_rss_mb.count,gauge.mem.host_rss_mb.sum,gauge.mem.host_rss_mb.mean,gauge.mem.host_rss_mb.min,gauge.mem.host_rss_mb.max,gauge.mem.host_rss_mb.std,gauge.mem.host_rss_mb.p50,gauge.mem.host_rss_mb.p90,gauge.mem.host_rss_mb.p99,plan_idx,cell_wall_s,timer.hookllm.build_extra.count,timer.hookllm.build_extra.sum,timer.hookllm.build_extra.mean,timer.hookllm.build_extra.min,timer.hookllm.build_extra.max,timer.hookllm.build_extra.std,timer.hookllm.build_extra.p50,timer.hookllm.build_extra.p90,timer.hookllm.build_extra.p99,timer.rpc.get_states.count,timer.rpc.get_states.sum,timer.rpc.get_states.mean,timer.rpc.get_states.min,timer.rpc.get_states.max,timer.rpc.get_states.std,timer.rpc.get_states.p50,timer.rpc.get_states.p90,timer.rpc.get_states.p99,timer.rpc.decompress.count,timer.rpc.decompress.sum,timer.rpc.decompress.mean,timer.rpc.decompress.min,timer.rpc.decompress.max,timer.rpc.decompress.std,timer.rpc.decompress.p50,timer.rpc.decompress.p90,timer.rpc.decompress.p99,timer.hookllm.generate.count,timer.hookllm.generate.sum,timer.hookllm.generate.mean,timer.hookllm.generate.min,timer.hookllm.generate.max,timer.hookllm.generate.std,timer.hookllm.generate.p50,timer.hookllm.generate.p90,timer.hookllm.generate.p99,timer.analyzer.kernel.count,timer.analyzer.kernel.sum,timer.analyzer.kernel.mean,timer.analyzer.kernel.min,timer.analyzer.kernel.max,timer.analyzer.kernel.std,timer.analyzer.kernel.p50,timer.analyzer.kernel.p90,timer.analyzer.kernel.p99,timer.hookllm.analyze.count,timer.hookllm.analyze.sum,timer.hookllm.analyze.mean,timer.hookllm.analyze.min,timer.hookllm.analyze.max,timer.hookllm.analyze.std,timer.hookllm.analyze.p50,timer.hookllm.analyze.p90,timer.hookllm.analyze.p99,gauge.hookllm.prompts.count,gauge.hookllm.prompts.sum,gauge.hookllm.prompts.mean,gauge.hookllm.prompts.min,gauge.hookllm.prompts.max,gauge.hookllm.prompts.std,gauge.hookllm.prompts.p50,gauge.hookllm.prompts.p90,gauge.hookllm.prompts.p99,gauge.rpc.payload_bytes.count,gauge.rpc.payload_bytes.sum,gauge.rpc.payload_bytes.mean,gauge.rpc.payload_bytes.min,gauge.rpc.payload_bytes.max,gauge.rpc.payload_bytes.std,gauge.rpc.payload_bytes.p50,gauge.rpc.payload_bytes.p90,gauge.rpc.payload_bytes.p99,counter.hookllm.generate.calls,counter.hookllm.analyze.calls,timer.hookllm.merge_probes.count,timer.hookllm.merge_probes.sum,timer.hookllm.merge_probes.mean,timer.hookllm.merge_probes.min,timer.hookllm.merge_probes.max,timer.hookllm.merge_probes.std,timer.hookllm.merge_probes.p50,timer.hookllm.merge_probes.p90,timer.hookllm.merge_probes.p99
2026-06-02 15:19:30,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,1,1,,False,True,,,,,,1,0,baseline,3,0.02353824892391761,6.070050100485484e-06,4.0667752424875897e-07,0.023544725651542347,706.4716447215318,44.15447779509574,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.9296875,0.0,2,34422.875,17211.4375,17211.4375,17211.4375,0.0,17211.4375,17211.4375,17211.4375,2,1863.859375,931.9296875,931.9296875,931.9296875,0.0,931.9296875,931.9296875,931.9296875,1,333.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:22:54,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,32,1,,False,True,,,,,,1,0,baseline,3,0.6098584625869989,1.1263104776541391e-05,4.0667752424875897e-07,0.6098701323692998,26.29002571000085,52.5800514200017,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.10546875,0.0,31,533554.5625,17211.4375,17211.4375,17211.4375,0.0,17211.4375,17211.4375,17211.4375,31,33514.26953125,1081.10546875,1081.10546875,1081.10546875,0.0,1081.10546875,1081.10546875,1081.10546875,2,203.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:26:20,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,1,4,,False,True,,,,,,1,0,baseline,3,0.04281403155376514,5.710249145825704e-06,2.7318795522054035e-07,0.042820014990866184,1658.8066180173046,103.67541362608154,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.04296875,0.0,3,51634.3125,17211.4375,17211.4375,17211.4375,0.0,17211.4375,17211.4375,17211.4375,3,3276.12890625,1092.04296875,1092.04296875,1092.04296875,0.0,1092.04296875,1092.04296875,1092.04296875,3,206.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:29:22,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,32,4,,False,True,,,,,,1,0,baseline,3,0.6699380949139595,5.05956510702769e-06,2.4338563283284503e-07,0.6699433978646994,95.54126207514508,191.08252415029017,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.52734375,0.0,35,602400.3125,17211.4375,17211.4375,17211.4375,0.0,17211.4375,17211.4375,17211.4375,34,37553.9296875,1104.52734375,1104.52734375,1104.52734375,0.0,1104.52734375,1104.52734375,1104.52734375,4,182.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:32:14,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,1,16,,False,True,,,,,,1,0,baseline,3,0.08296549692749977,5.41998694340388e-06,2.4400651454925537e-07,0.08297116092095773,3707.6483223953524,231.72802014970952,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.640625,0.0,5,86057.1875,17211.4375,17211.4375,17211.4375,0.0,17211.4375,17211.4375,17211.4375,5,5528.203125,1105.640625,1105.640625,1105.640625,0.0,1105.640625,1105.640625,1105.640625,5,171.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:35:49,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,32,16,,False,True,,,,,,1,0,baseline,3,0.6784168248996139,4.776753485202789e-06,1.6701718171437582e-07,0.6784217686702808,378.72724199195073,757.4544839839015,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.05078125,0.0,40,688457.5,17211.4375,17211.4375,17211.4375,0.0,17211.4375,17211.4375,17211.4375,40,44562.03125,1114.05078125,1114.05078125,1114.05078125,0.0,1114.05078125,1114.05078125,1114.05078125,6,214.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:39:13,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,256,1,1,,False,True,,,,,,1,0,baseline,3,0.025708036497235298,4.479661583900452e-06,2.0985802014668783e-07,0.025712726016839344,10119.18031991519,39.52804812466871,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.92578125,0.0,1,17211.4375,17211.4375,17211.4375,17211.4375,,,,,1,1103.92578125,1103.92578125,1103.92578125,1103.92578125,,,,,7,203.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:42:35,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,256,32,1,,False,True,,,,,,1,0,baseline,3,0.5909113138914108,1.0599692662556967e-05,2.1047890186309814e-07,0.5909221240629753,433.27806961233773,54.159758701542216,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.8359375,0.0,31,533554.5625,17211.4375,17211.4375,17211.4375,0.0,17211.4375,17211.4375,17211.4375,31,34311.9140625,1106.8359375,1106.8359375,1106.8359375,0.0,1106.8359375,1106.8359375,1106.8359375,8,202.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:46:16,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,256,1,4,,False,True,,,,,,1,0,baseline,3,0.07133198529481888,4.723668098449707e-06,1.9650906324386597e-07,0.07133690547198057,15912.46321912745,62.1580594497166,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.765625,0.0,4,68845.75,17211.4375,17211.4375,17211.4375,0.0,17211.4375,17211.4375,17211.4375,4,4443.0625,1110.765625,1110.765625,1110.765625,0.0,1110.765625,1110.765625,1110.765625,9,221.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:49:55,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,256,32,4,,False,True,,,,,,1,0,baseline,3,0.6645096630478898,5.193985998630524e-06,2.691522240638733e-07,0.6645151261861125,1544.6414548566597,193.08018185708247,17211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.8671875,0.0,38,654034.625,17211.4375,17211.4375,17211.4375,0.0,17211.4375,17211.4375,17211.4375,38,41984.953125,1104.8671875,1104.8671875,1104.8671875,0.0,1104.8671875,1104.8671875,1104.8671875,10,219.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
